行程id,子行程id,车辆id,检测时间,经度,纬度,方向,星数,定位状态,gps速度,定位时间,时间戳,里程戳,油量戳,车速,转数,水温,电压,加速度(m/s^2),怠速状态,new_col
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:19,108.96236,34.256176,174,6,1,6,2022-06-12 19:09:23,57.0,115,333,0.0,1046,81,13.8,0.0,T,1
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:19,108.96236,34.256164,174,6,1,6,2022-06-12 19:09:24,58.0,115,337,0.0,768,81,13.7,0.0,T,2
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:19,108.96236,34.256164,174,6,1,6,2022-06-12 19:09:25,59.0,115,337,0.0,768,81,13.7,0.0,T,3
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.96236,34.256168,0,7,1,2,2022-06-12 19:09:26,60.0,115,341,0.0,738,80,13.8,0.0,T,4
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.96236,34.256164,0,7,1,2,2022-06-12 19:09:27,61.0,115,344,0.0,789,80,13.8,0.0,T,5
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.96236,34.256164,0,7,1,2,2022-06-12 19:09:28,62.0,115,344,0.0,789,80,13.8,0.0,T,6
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.256124,156,6,1,5,2022-06-12 19:09:29,63.0,115,347,0.0,817,79,13.7,0.0,T,7
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.962384,34.256116,0,6,1,4,2022-06-12 19:09:30,64.0,115,350,0.0,792,79,13.7,0.0,T,8
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.256096,151,6,1,4,2022-06-12 19:09:31,65.0,115,353,0.0,778,79,13.7,0.0,T,9
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.256096,151,6,1,4,2022-06-12 19:09:32,66.0,115,353,0.0,778,79,13.7,0.0,T,10
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.256084,0,6,1,3,2022-06-12 19:09:33,67.0,115,356,0.0,772,79,13.8,0.0,T,11
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.962416,34.25608,0,7,1,2,2022-06-12 19:09:34,68.0,115,359,0.0,764,78,13.7,0.0,T,12
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.962416,34.25608,0,7,1,2,2022-06-12 19:09:35,69.0,115,359,0.0,764,78,13.7,0.0,T,13
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.256068,0,7,1,1,2022-06-12 19:09:36,70.0,115,362,0.0,765,78,13.7,0.0,T,14
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.25606,0,6,1,1,2022-06-12 19:09:37,71.0,115,365,0.0,765,78,13.7,0.0,T,15
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.25606,0,6,1,1,2022-06-12 19:09:38,72.0,115,365,0.0,765,78,13.7,0.0,T,16
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:34,108.9624,34.25606,0,6,1,0,2022-06-12 19:09:39,73.0,115,368,0.0,766,78,13.7,0.0,T,17
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.9624,34.256052,0,6,1,0,2022-06-12 19:09:40,74.0,115,370,0.0,767,78,13.7,0.0,T,18
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.9624,34.256056,0,7,1,0,2022-06-12 19:09:41,75.0,115,375,0.0,838,78,13.9,0.1388888888888889,T,19
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.9624,34.256056,0,7,1,0,2022-06-12 19:09:42,76.0,115,375,0.0,838,78,13.9,0.1388888888888889,T,20
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962384,34.256056,0,7,1,1,2022-06-12 19:09:43,77.0,116,381,1.0,1032,78,13.7,0.5555555555555556,F,21
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962384,34.25606,0,7,1,1,2022-06-12 19:09:44,78.0,117,391,3.0,956,78,14.0,0.972222222222222,F,22
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962384,34.25606,0,7,1,1,2022-06-12 19:09:45,79.0,117,391,3.0,956,78,14.0,0.972222222222222,F,23
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962368,34.256052,0,7,1,2,2022-06-12 19:09:46,80.0,121,403,10.0,1474,79,13.9,0.5555555555555558,F,24
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962368,34.256028,0,7,1,4,2022-06-12 19:09:47,81.0,126,411,12.0,1772,79,13.9,0.1388888888888888,F,25
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962368,34.256028,0,7,1,4,2022-06-12 19:09:48,82.0,126,411,12.0,1772,79,13.9,0.1388888888888888,F,26
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962336,34.25598,183,7,1,7,2022-06-12 19:09:49,83.0,131,427,13.0,1564,79,13.9,0.8333333333333335,F,27
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.96232,34.255968,189,7,1,7,2022-06-12 19:09:50,84.0,138,431,16.0,1420,79,13.9,-0.8333333333333335,F,28
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962304,34.255944,196,7,1,8,2022-06-12 19:09:51,85.0,142,436,13.0,1246,79,13.9,0.2777777777777779,F,29
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962304,34.255944,196,7,1,8,2022-06-12 19:09:52,86.0,142,436,13.0,1246,79,13.9,0.2777777777777779,F,30
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:09:48,108.962272,34.255912,209,7,1,8,2022-06-12 19:09:53,87.0,148,454,15.000000000000002,1322,79,14.0,1.3888888888888884,F,31
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:10:02,108.96224,34.255896,218,7,1,9,2022-06-12 19:09:54,88.0,156,483,20.0,1757,80,13.9,1.25,F,32
600048233231,6773,60399167-5ffb-4e39-ab47-2abe5c0c6347,2022-06-12 19:10:02,108.96224,34.255896,218,7,1,9,2022-06-12 19:09:55,89.0,156,483,20.0,1757,80,13.9,1.25,F,33
