行程id,子行程id,车辆id,检测时间,经度,纬度,方向,星数,定位状态,gps速度,定位时间,时间戳,里程戳,油量戳,车速,转数,水温,电压,加速度(m/s^2),怠速状态,new_col
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:19,729.0,3343,3476,0.0,792,89,13.1,0.0,T,1
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:20,730.0,3343,3476,0.0,792,89,13.1,0.0,T,2
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:21,731.0,3343,3479,0.0,782,89,13.0,0.0,T,3
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:22,732.0,3343,3482,0.0,789,89,13.0,0.0,T,4
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:23,733.0,3343,3482,0.0,789,89,13.0,0.0,T,5
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323624,0,8,1,0,2022-09-01 20:23:24,734.0,3343,3485,0.0,795,89,13.0,0.0,T,6
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323628,0,8,1,0,2022-09-01 20:23:25,735.0,3343,3488,0.0,789,89,13.0,0.0,T,7
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:20,108.933264,34.323628,0,8,1,0,2022-09-01 20:23:26,736.0,3343,3488,0.0,789,89,13.0,0.0,T,8
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:35,108.933248,34.323628,0,8,1,0,2022-09-01 20:23:27,737.0,3343,3491,0.0,798,89,13.0,0.0,T,9
600054609627,2578,5d6c2d3e-6007-4132-8c7a-fd02e58fb004,2022-09-01 20:23:35,108.933248,34.323628,0,8,1,0,2022-09-01 20:23:28,738.0,3343,3494,0.0,801,89,13.0,0.0,T,10
